제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
만강에 비친 달,"100% 홍천 찹쌀과 미니 단호박, 전통누룩을 원료로 하여 빚은 이양주(두번 빚은 술) 만강에 비친 달은 10도의 알맞은 도수로 술을 잘 못하",10,500ml,"홍천쌀, 단호박, 곡자(밀누룩)",2015 찾아가는 양조장,진한 부드러움이 목을 스치고 지나간다. 찌개류와 잘 어울린다.,Y,예술주조,강원도 홍천군 내촌면 물걸리 508-2,http://www.ye-sul.co.kr,
장홍삼 장수 막걸리,"국내산 원재료만을 사용하여 홍삼 분말이 들어갔다. 인삼향과 막걸리 본연의 곡물향이 잘 어우러지며, 적당한 산미와 단맛, 청량감이 목넘김을 깔끔",6,750ml,"백미,말토올리고당,홍삼분말",,"한식, 전, 삼겹살",Y,서울장수(주),충청북도 진천군 광혜원면 죽현리 277,https://seouljangsu.modoo.at/,2016 대한민국 우리술품평회 살균막걸리 부문 최우수상
시향가,100% 크래프트 막걸리이다. 친환경 쌀을 바탕으로 곡성 토란을 담아 전통 방식 그대로 막걸리를 빚었다. 인공감미료를 넣지 않아 텁텁함이 느껴,8,500ml,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀",,"카프레제, 김치전과 잘 어울린다.",Y,농업회사법인 시향가(주),전남 곡성군 곡성음 낙동원로 20,https://www.sihyangga.com,
이화백주 순탁주,국내산 햅쌀 100%와 전통누룩으로 빚어 15일간 저온에서 자연 발효했다. 첨가물을 넣지 않고 전통방식으로 빚어 부드러우면서도 풍미가 뛰어나다,6,940ml,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",,"갈비찜, 해물파전, 보쌈, 족발과 잘 어울린다.",Y,이화백주,경상남도 양산시 상북면 상삼리 389,https://www.facebook.com/ehwayangzo/,"2019대한민국주류대상, 2017년 공식건배주선정"
호랑이 생 막걸리,한국을 대표하는 최고급 품질의 술을 만들고자 하는 의지로 우리나라의 상징적 동물인 호랑이를 브랜드명으로 선저하였다. 호랑이생은 단 맛과 신 맛,6,750ml,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",2016 찾아가는 양조장,"족발, 보쌈, 매운 음식과 잘 어울린다.",Y,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,2016 대한민국 우리술품평회 우수상
담은,경기도 포천시 최고급 쌀을 주원료로 사용하였으며 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미,6.5,750ml,"쌀(국내산), 입국, 효모, 고과당, 정제효소제, 정제수",,새하얀 백설기와 함께 맛보면 좋을 술이다.,Y,(주)1932포천일동막걸리,경기도 포천시 일동면 운악청계로 1597,http://www.xn--369ay3l35ejd457e5hhnxn.kr/niabbs5/,2016 대한민국 우리술품평회 장려상
DOK X 메킷나이스,"메킷나이스 회사와 같이 콜라보한 막걸리이다. 친숙한 향이 나면서도 이국적인 향이 나는 것이 특징이며 허브,꽃향이 나는 새콤한 막걸리이다.",8,650ml,"멥쌀,찹쌀,누룩,생강,고수씨",,"동남아 음식(팟타이, 짜조 등)",N,디오케이브루어리,"서울특별시 강북구 삼양로 455, 1층",https://www.instagram.com/dokbrewery/,
씨(C) 그린막걸리,녹즙을 마시는듯한 케일의 건강한 맛과 개똥쑥의 강렬한 향의 조합이 특징이다.,12,500ml,"쌀, 물, 누룩, 케일, 개똥쑥",,"조청을 찍은 쑥떡 등 한식디저트, 갈비찜이나 찜닭 등 단짠의 조화를 이루는 한식 찜류와 어울린다.",Y,씨(C) 막걸리,"서울시 강남구 논현로 18 (개포동), 지수빌딩 2층",,
씨(C) 옐로막걸리,"당도가 높지 않고, 드라이하지 않다.",12,500ml,"쌀, 물, 누룩, 당근, 레몬그라스",,"동남아요리, 회, 해산물 냉채 또는 닭고기, 오리고기 등의 가금류와 어울린다.",Y,씨(C) 막걸리,"서울시 강남구 논현로 18 (개포동), 지수빌딩 2층",,
씨(C) 막걸리 시그니처 큐베,"C막걸리의 시그니처 제품으로 항아리에 발효한 범벅 밑술을 사용하며, 노간주나무 열매의 유쾌한 산미가 특징이다. 고도수이지만 걸쭉하지 않은 깔끔",12,500ml,"쌀, 물, 누룩, 노간주나무열매, 건포도",,"치즈가 들어간 전식, 사천요리, 중식/한식의 퓨전요리와 어울린다.",Y,씨(C) 막걸리,"서울시 강남구 논현로 18 (개포동), 지수빌딩 2층",,
지평 이랑이랑,"""지평 이랑이랑""은 일반적인 막걸리와 차별화된 ""스파클링 막걸리""로, 마셨을 때 시원한 탄산을 느낄 수 있어 더운 여름철에 즐기기 좋다. 젊은",5,750ml,"정제수, 쌀, 자일리톨, 국, 효모, 레몬농축액, 허브류",,"파스타, 피자, 치킨 등 파티 요리",Y,지평주조,경기도 양평군 지평면 지평리,http://www.jpjujo.com/,
구름을 벗삼아,문경주조의 구름을 벗삼아는 유기농 찹쌀과 전통누룩을 사용한 단 맛이 살짝 가미된 깔끔한 스타일의 탁주이다. 일반 쌀 막걸리와 달리 단 맛이 적,12,750ml,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",2015 찾아가는 양조장,"해물파전, 김치전 등 전 요리와 잘 어울린다.",Y,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,
도구막걸리,"포항에서 가장 오래된 밀 막걸리로, 부드럽고 구수한 맛이 특징입니다. 잔당감이 거의 없는 뒷맛으로, 바디감이 묵직함에도 질리지 않고 마실 수 ",6,750ml,"정제수, 밀가루, 효모, 조제종국, 정제효소제, 젖산, 아스파탐, 아세설팜칼륨",,"제육볶음, 골뱅이무침",N,동해명주,경북 포항시 남구 동해면 일월로 51-1,www.yangjo.com,
세오녀탁주,"탄산과 강한 단맛을 가진 일반 막걸리와는 달리, 무감미로 만들어져 어떤 해산물 안주와도 잘 어울리는 막걸리이다. 걸쭉한 느낌보다는 담담하게 입",6,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",,회를 비롯한 해산물 음식과 잘 어울린다.,Y,동해명주,경북 포항시 남구 동해면 일월로 51-1,www.yangjo.com,
동해동동주,쌀이 동동 뜬 옛 동동주의 모습을 연상시켜 아직까지 많은 애주가들에게 사랑을 받고 있는 술이다. 청량감과 단맛이 적절하게 어우러져 부드러운 맛,6,750ml,쌀100%(포항쌀),,"돼지고기수육, 두부김치, 해물파전과 잘 어우러진다.",Y,동해명주,경북 포항시 남구 동해면 일월로 51-1,www.yangjo.com,
연오랑탁주,무감미 막걸리인 연오랑 탁주는 드라이하고 깔끔한 맛을 가지고 있다. 12도의 막걸리로 탄탄한 바디감과 구수한 맛이 일품인 술이다.,12,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",,"구운고기, 양념고기와 잘 어울린다.",Y,동해명주,경북 포항시 남구 동해면 일월로 51-1,https://www.yangjo.com/,
영탁막걸리,차고 달아 술 빚기에 으뜸으로 꼽는 예천의 물로 빚은 막걸리이다. 특유의 묵직한 바디감이 느껴지는 일반 막걸리와 달리 부드러우면서도 깔끔한 목,6,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 물엿, 올리고당, 누룩(밀), 효모, 아스파탐, 아세설팔칼륨",,"전, 보쌈과 같은 기름진 음식에 잘 어울린다.",Y,예천양조,경상북도 예천군 용궁면 월오길 17,https://yecheonbrewery.com/,
별산막걸리,별산막걸리는 경기도 양주의 단단한 쌀을 사용하고 어느 누구도 시도하지 않은 특별한 발효균주를 이용하여 만든 프리미엄 막걸리다. 맛과 품질에서 ,6.5,800ml,"정제수, 쌀(국내산), 입국, 효모, 당류가공품",,"갈비찜, 전류 등 기름진 음식과 매칭이 좋으며, 다양한 치즈와 매칭해 즐겨봐도 좋다.",Y,양주도가,경기도 양주시 광적면 부흥로 21번길 60,https://smartstore.naver.com/yangjudoga?NaPm=ct%3Dku6d6nma%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D3123618dd9f37e80e65447c2e20725e85e5ad16e,"2020 대한민국주류대상 우리술 탁주 생막걸리 전통부문 대상, 2020 대한민국 주류대상 Best of 2020, 2021 대한민국 우리술품평"
풍정사계 추(秋),추는 설기로 밑술한 법술을 발효 후 저온 숙성한 탁주로 옹기에서 100일 저온숙성해 만든 술로 완전발효되어 숙취가 없고 뒤끝이 깨끗하다. 특유,12,500ml,풍정사계 추(秋),,완자전과 잘 어울린다.,Y,풍정사계,충청북도 청주시 청원구 내수읍 풍정1길 8-2,https://www.hwayang.co/,
지리산 허브잎술 쌀 막걸리,"&amp;quot;지리산 허브잎 술&amp;quot;은 지리산에서 자란 로즈마리, 라벤다를 첨가해 빚은 막걸리다. 한 모금 맛보면 은은하게 허",6,750ml,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",,"홍어회 무침, 골뱅이 무침",Y,지리산 운봉주조,전북 남원시 운봉읍 서천리 622번지,http://www.herbsul.com/,"2015 샌프란시스코 세계 주류 품평회 은상, 2011 대한민국 우리술 품평회 대상, 2014 대한민국 우리술 품평회 대상, 2015 벨기에 "
야관문 쌀 막걸리,야관문 막걸리는 비수리라 불리는 토종허브 야관문을 넣고 빚었다. 밤의 빗장을 여는 문이라는 뜻을 가진 야관문은 술로 빚어 섭취하면 더욱 효능이,6,750ml,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",,채소 샐러드와 어을린다.,Y,지리산 운봉주조,전북 남원시 운봉읍 서천리 622번지,http://www.herbsul.com/,"2010 IFFE 한국식품원장수상, 2015 샌프란시스코 세계 주류 품평회 은상, 2018 IFFE 농림부 장관상수상"
동래아들,일체의 첨가물 없이 쌀과 누룩으로만 빚은 막걸리이다. 최상의 품질을 유지하기 위해 하루 500병 한정 생산하며 긴 발효시간과 숙성기간을 거쳐 ,6,750ml,"정제수, 찹쌀, 맵쌀, 밀누룩",,고소한 파전과 같은 전류와 페어링하기 좋다.,Y,제이케이크래프트,부산광역시 동래구 사직북로48번길 34,http://gidarim.co.kr/,
호모루덴스,호모루덴스는 삼양주기법으로 멥쌀을 원료로 빚은 술인만큼 드라이한 풍미가 강한 술이다. 단맛이 적어 음식과 곁들여 마시기에 좋으며 100일 동안,12,500ml,"쌀, 누룩, 정제수",,입 안의 풍미가 강하고 술을 마시고 난 후에도 긴 여운이 남아 돼지 목살 숯불 구이와 잘 어울린다.,Y,산수양조장,강원도 홍천군 화촌면 야시대로 211-57,,
해창 막걸리 9도,땅끝 해남의 청정 자연 발효환경에서 생산된 프리미엄 무감미료 생막걸리이다. 국내산 100% 멥쌀과 찹쌀에서 나오는 인위적이지 않은 단맛이 매력,9,900ml,"햅쌀, 찹쌀, 물, 누룩",2014 찾아가는 양조장,전복구이와 잘 어울린다.,Y,해창주조장,전남 해남군 화산면 해창길 1,https://haechangjujo.modoo.at/,
우렁이쌀 손막걸리 DRY,우렁이 찹쌀을 발효 소재로 골라 화학첨가제가 들어가지 않은 순수한 술이다. 장기 저온숙성하여 부드러운 목넘김과 감칠맛을 가지고 있다. 달달한 ,7.5,500ml,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",,양념이 강하지 않은 부드럽고 담백한 생선회 및 한식 요리와 잘 어울린다.,Y,양촌양조,충남 논산시 양촌면 매죽헌로1665번길 14-9,http://www.yangchon.co.kr/,
희양산 막걸리 15도,옅은 단맛과 약간의 신맛이 느껴지는 막걸리다. 담백하고 깔끔한 맛을 가지고 있으며 15도의 높은 도수를 가지고 있음에도 부드러운 목넘김이 일품,15,500ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",,매콤한 볶음류의 음식와 잘 어울린다.,Y,두술도가,경북 문경시 가은읍 가은5길 7 아자개장터,,
희양산 막걸리 9도,친환경 재료만을 사용한 알코올 감과 멥쌀만으로 술을 빚음에도 불구하고 옅은 단맛과 약간의 신맛이 조화로워 깔끔하고 담백한 맛이 일품이며 부드러,9,750ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",,"생굴, 두부, 육류 안주를 추천한다.",Y,두술도가,경북 문경시 가은읍 가은5길 7 아자개장터,,
술공방 9.0 막걸리,수제 누룩과 청양 햅쌀의 진하고 풍부한 맛을 느낄 수 있으며 살짝만 흔들어도 될 정도로 걸쭉한 느낌을 가지고 있다. 발효의 조화만으로 바나나 ,9,500ml,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",,"국물 떡볶이, 매운탕, 고기전과 잘 어울린다.",Y,아리랑주조,충남 청양군 대치면 방죽곡길 46-19,https://ystar.modoo.at/,
나루 생 막걸리 11.5도,"높은 쌀 함유량으로 원재료인 쌀 본연의 단맛을 살려 깔끔한 목넘김을 가지고 있다. 묵직한 텍스처, 청사과와 배의 향이 나며 시트러스 계열의 여",11.5,500ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",,매콤한 쭈꾸미 볶음류와 잘 어울린다.,Y,한강주조,"서울특별시 성동구 둘레15길 12, 2층",https://hangangbrewery.com/,
나루 생 막걸리 6도,원재료인 쌀 본연의 맛을 살려 깔금하게 넘어가는 목넘김이 좋은 인공 감미료 및 천연감미료 무첨가 막걸리다. 시간의 지남에 따라 주차별로 맛이 ,6,935ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",,매콤한 쭈꾸미 볶음류와 잘 어울린다.,Y,한강주조,"서울특별시 성동구 둘레15길 12, 2층",https://hangangbrewery.com/,
호두땅콩막걸리,"쌀로 만든 막걸리에 고소한 땅콩이 그대로 들어 있는 듯한 느낌이다. 땅콩에 호두 향을 더해 담백하고, 풍미가 가득하며 부드러운 맛을 느낄 수 ",6,750ml,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",,불닭갈비와 잘 어울린다.,Y,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,
아띠,포천쌀의 자연발효로 생기는 천연 스파클링이 주는 가볍고 깔끔한 목넘김과 강한 청량감을 느낄 수 있다.,6,450ml,쌀(국내산),,"피자, 치킨, 파스타 등 다양한 대표 파티 메뉴 및 생선회 요리와 페이렁하기 좋다.",Y,배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,
복순도가 탁주,옛 항아리에서 100일 이상 저온숙성으로 직접 빚은 전통 누룩 사용해 더욱 진하고 부드러운 바디감이 느껴진다. 언양 쌀의 구수한 곡물맛과 잘 ,10,935ml,"정제수, 쌀(국산), 곡자(밀), 밀함유",2018 찾아가는 양조장,고추장찌개가 떠오르는 바디감을 가졌다. 혹은 항정살 수육 무침과 함께 해도 좋다.,Y,복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,
복순도가 손막걸리,"손으로 직접 빚은 순수 생막걸리, 복순도가 손막걸리는 전통 방식으로 빚은 가양주 형식의 전통주로써, 비옥한 토양에서 자란 국내산 쌀만을 사용,",6.5,935ml,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",2018 찾아가는 양조장,"파전, 치킨, 보쌈, 족발, 해산물 등 다채로운 페어링이 가능하다.",Y,복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,"2015년 샌프란시스코 국제 와인 주류 품평회 (금상), 2018년 K-DESIGN AWARD 수상"
